 index	Title	Beats Per Minute	Popularity
608	Élan	128	58
609	Dat Ik Je Mis	174	29
610	Heading Up High	128	53
611	Zeg Maar Niets Meer - Remastered	95	26
612	Chandelier	117	71
613	Uptown Funk	115	82
614	Birds	85	33
615	Michel	122	20
616	Let It Happen	125	76
617	Everglow	146	69
618	The Less I Know The Better	117	85
619	Ordinary Love	121	45
620	Stressed Out	170	83
621	For Bitter Or Worse	83	21
622	All I Need - Edit	95	41
623	Hymn for the Weekend	90	78
624	Adventure of a Lifetime	112	74
625	Three Days In A Row	171	13
626	Moondance	135	42
627	R U Kiddin' Me	89	16
628	"Theme From New York, New York"	109	68
629	Hold Me	161	26
630	Budapest	128	68
631	Shoes of Lightning	78	32
632	Mercy	130	60
633	Tennessee Whiskey	49	78
634	"Oxygene, Pt. 4"	189	57
635	A Head Full of Dreams	123	68
636	We Come 1 - Radio Edit	136	54
637	Forever Man - 2015 Remaster	111	46
638	Down Man	168	35
639	Liquid Spirit - Claptone Remix	121	63
640	Living Doll - 2003 Remaster	127	33
641	Ocean of Night	106	58
642	Be the One	87	73
643	Up&Up	164	70
644	Ship To Wreck	142	54
645	Love Yourself	100	83
646	Happy Xmas (War Is Over)	147	47
647	Sorry	134	63
648	Cold Little Heart	108	67
649	Barcelona	170	40
650	Leef	121	62
651	Hello	158	73
652	Against All Odds (Take a Look at Me Now) - 2016 Remaster	116	74
653	Treur Niet (Ode Aan Het Leven)	98	60
654	When We Were Young	144	73
655	Do I Ever	163	53
656	"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"	113	75
657	Whatever You Want	123	36
658	Lazarus	130	61
659	Million Years Ago	106	62
660	Dark Necessities	92	74
661	You Want It Darker	109	63
662	Bridges	150	49
663	Once Upon a Time in the West - Main Theme	90	54
664	Mooi	150	59
665	I Just Can't Help Believin'	142	44
666	Love & Hate	170	66
667	New Gold Dream (81/82/83/84)	123	44
668	Disco Inferno	130	54
669	Someone Somewhere (In Summertime)	100	41
670	24K Magic	107	78
671	Blackstar	98	55
672	Water Under the Bridge	95	67
673	All I Ask	142	70
674	The Life I Live	131	27
675	We All Stand Together - Remastered 2016	72	24
676	Heathens	90	81
677	Jacob’s Song	74	40
678	Way Down We Go	163	76
679	7 Years	120	80
680	Forbidden Colours	105	28
681	The Book Of Love	108	34
682	Zoutelande - feat. Geike	129	41
683	Pokémon Theme-New Studio Recording	145	41
684	Perfect	95	87
685	Thriller	118	69
686	Boulevard of Broken Dreams	167	74
687	What About Us	114	76
688	Shape of You	96	87
689	Believer	125	88
690	Human	75	78
691	Het het nog nooit zo donker west	98	28
